turn,noodling_cumulative,baseline_cumulative,noodling_per_turn,baseline_per_turn
906,2582100,10520925,2850,22925
907,2584950,10543875,2850,22950
908,2587800,10566850,2850,22975
909,2590650,10589850,2850,23000
910,2593500,10612875,2850,23025
911,2596350,10635925,2850,23050
912,2599200,10659000,2850,23075
913,2602050,10682100,2850,23100
914,2604900,10705225,2850,23125
915,2607750,10728375,2850,23150
916,2610600,10751550,2850,23175
917,2613450,10774750,2850,23200
918,2616300,10797975,2850,23225
919,2619150,10821225,2850,23250
920,2622000,10844500,2850,23275
921,2624850,10867800,2850,23300
922,2627700,10891125,2850,23325
923,2630550,10914475,2850,23350
924,2633400,10937850,2850,23375
925,2636250,10961250,2850,23400
926,2639100,10984675,2850,23425
927,2641950,11008125,2850,23450
928,2644800,11031600,2850,23475
929,2647650,11055100,2850,23500
930,2650500,11078625,2850,23525
931,2653350,11102175,2850,23550
932,2656200,11125750,2850,23575
933,2659050,11149350,2850,23600
934,2661900,11172975,2850,23625
935,2664750,11196625,2850,23650
936,2667600,11220300,2850,23675
937,2670450,11244000,2850,23700
938,2673300,11267725,2850,23725
939,2676150,11291475,2850,23750
940,2679000,11315250,2850,23775
941,2681850,11339050,2850,23800
942,2684700,11362875,2850,23825
943,2687550,11386725,2850,23850
944,2690400,11410600,2850,23875
945,2693250,11434500,2850,23900
946,2696100,11458425,2850,23925
947,2698950,11482375,2850,23950
948,2701800,11506350,2850,23975
949,2704650,11530350,2850,24000
950,2707500,11554375,2850,24025
951,2710350,11578425,2850,24050
952,2713200,11602500,2850,24075
953,2716050,11626600,2850,24100
954,2718900,11650725,2850,24125
955,2721750,11674875,2850,24150
956,2724600,11699050,2850,24175
957,2727450,11723250,2850,24200
958,2730300,11747475,2850,24225
959,2733150,11771725,2850,24250
960,2736000,11796000,2850,24275
961,2738850,11820300,2850,24300
962,2741700,11844625,2850,24325
963,2744550,11868975,2850,24350
964,2747400,11893350,2850,24375
965,2750250,11917750,2850,24400
966,2753100,11942175,2850,24425
967,2755950,11966625,2850,24450
968,2758800,11991100,2850,24475
969,2761650,12015600,2850,24500
970,2764500,12040125,2850,24525
971,2767350,12064675,2850,24550
972,2770200,12089250,2850,24575
973,2773050,12113850,2850,24600
974,2775900,12138475,2850,24625
975,2778750,12163125,2850,24650
976,2781600,12187800,2850,24675
977,2784450,12212500,2850,24700
978,2787300,12237225,2850,24725
979,2790150,12261975,2850,24750
980,2793000,12286750,2850,24775
981,2795850,12311550,2850,24800
982,2798700,12336375,2850,24825
983,2801550,12361225,2850,24850
984,2804400,12386100,2850,24875
985,2807250,12411000,2850,24900
986,2810100,12435925,2850,24925
987,2812950,12460875,2850,24950
988,2815800,12485850,2850,24975
989,2818650,12510850,2850,25000
990,2821500,12535875,2850,25025
991,2824350,12560925,2850,25050
992,2827200,12586000,2850,25075
993,2830050,12611100,2850,25100
994,2832900,12636225,2850,25125
995,2835750,12661375,2850,25150
996,2838600,12686550,2850,25175
997,2841450,12711750,2850,25200
998,2844300,12736975,2850,25225
999,2847150,12762225,2850,25250
1000,2850000,12787500,2850,25275
